Access to formal-informal education services for children from displaced hhs,Location of formal informal education facilities services for children from displaced hhs,Distance to nearest education facility,Children at the site attending school,Sufficient learning,Trained moe teachers in this community,Reason 1,Reason 2,Reason 3,Enough teachers,Females not attending,Males not attending,Are there any people in this community skilled and willing to volunteer for education,If there were any community-led education activities would the children in your community attend,Hh,Ind,Location type,Site accessibility,Site safe area,State,LGA,Ward,Most common type of shelter,Living outside,Living emergency shelter,Living makeshift shelter,Living indoors,Security is provided on-site,Security incidents are reported in the site,Who provides the main security in the site,Most prevalent health problem,Access to health facility,Screening for malnutrition conducted on site muac,Supplementary feeding
Yes,Off-site,<2km,51%-75%,No enough learning space,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Fees or costs early marriage/pregnancy,Fees or costs they are working,Yes,Yes,90,431,IDPs,Yes,Yes,Taraba,Bali,Suntai,Preexisting structures (Partitioned),,,,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,Off-site,<1km,25%-50%,No enough learning space,No,Fees or costs,Lack of parental/Care givers support,Work at the house,Largely insufficient number of teachers/Volunteers are available,Fees or costs early marriage/pregnancy,Fees or costs they are working,No,Yes,71,534,IDPs,Yes,Yes,Taraba,Bali,Suntai,Preexisting structures (Partitioned),,,<25%,51%-75%,Yes,No,Community,Fever,Yes,No,Unknown
Yes,Off-site,<2km,25%-50%,No enough learning space,Yes,Fees or costs,Work at the house,Lack of parental/Care givers support,Largely insufficient number of teachers/Volunteers are available,Fees or costs early marriage pregnancy,Fees or costs they are working,No,Yes,53,331,IDPs,Yes,Yes,Taraba,Bali,Takalafiya,Preexisting structures (Partitioned),,,,>75%,Yes,No,Community,Fever,Yes,No,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,Yes,"School is occupied (by families, military, etc.)",Work at the house,Fees or costs,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage pregnancy early marriage/pregnancy,Early marriage  lack of facilities separated by sex,Yes,Yes,58,232,IDPs,Yes,Yes,Taraba,Donga,Akate,Accommodation by other families,,25%-50%,25%-50%,25%-50%,No,Yes,,Skin disease,Yes,No,No
No,,,none,Classrooms are crowded,No,Fees or costs,Fear of violence,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of food at home and school lack of facilities separated by sex,Early marriage  they are working,Yes,No,32,128,IDPs,Yes,Yes,Taraba,Donga,Akate,Accommodation by other families,,,<25%,<25%,No,No,,Malaria,Yes,No,No
Yes,Off-site,<5km,<25%,Classrooms are crowded,Yes,Work at the house,Lack of parental/Care givers support,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage pregnancy,Early marriage ,No,No,69,276,IDPs,Yes,Yes,Taraba,Donga,Akate,Makeshift shelter (Using Local Materials),,,25%-50%,25%-50%,No,No,,Malaria,Yes,No,No
No,,,none,Classrooms are crowded,Yes,Work at the house,Fees or costs,Violence/Risks at the school or to/From the school,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage pregnancy,Early marriage  distance to school,No,No,104,416,IDPs,Yes,Yes,Taraba,Donga,Akate,Preexisting structures (Unpartitioned),,25%-50%,25%-50%,25%-50%,No,No,,Malaria,Yes,No,No
Yes,Off-site,<5km,25%-50%,Classrooms are crowded,Yes,"School is occupied (by families, military, etc.)",Fear of violence,Violence/Risks at the school or to/From the school,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working,Early marriage ,Yes,Yes,41,164,IDPs,Yes,Yes,Taraba,Donga,Asibiti,Emergency shelter Kits (Type 1),,25%-50%,25%-50%,25%-50%,No,No,,Skin disease,Yes,No,No
Yes,Off-site,<10km,25%-50%,Classrooms are crowded,Yes,Fear of violence,Lack of teachers,"School is occupied (by families, military, etc.)","Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of space in local schools,Early marriage  they are working,Yes,Yes,26,115,IDPs,Yes,Yes,Taraba,Donga,Asibiti,Transit shades (Unpartitioned),,25%-50%,25%-50%,25%-50%,No,No,,Malaria,Yes,No,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,Yes,Work in the fields,"School is occupied (by families, military, etc.)",Fees or costs,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage pregnancy,Fees or costs,Yes,Yes,64,256,IDPs,Yes,Yes,Taraba,Donga,Gyatta Aure,HH living in makeshift shelter (Using Household Items),,25%-50%,51%-75%,25%-50%,No,No,,Diarrhea,Yes,No,No
No,,,none,Classrooms are crowded,No,Lack of teachers,Distance to the school (too far),Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage pregnancy,Early marriage ,Yes,Yes,51,167,IDPs,Yes,Yes,Taraba,Donga,Gyatta Aure,Preexisting structures (Unpartitioned),,25%-50%,25%-50%,25%-50%,No,No,,Malaria,Yes,No,No
Yes,Off-site,<5km,25%-50%,Classrooms are crowded,Yes,Disease/Illness,Fees or costs,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Do not know/no answer ,Early marriage ,No,Yes,11,44,IDPs,Yes,Yes,Taraba,Donga,Gyatta Aure,Emergency shelter Kits (Type 1),,25%-50%,25%-50%,25%-50%,No,No,,Malaria,Yes,No,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,No,Violence/Risks at the school or to/from the school,Fear of violence,"School is occupied (by families, military, etc.)","Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage pregnancy,Disabilities,Yes,Yes,79,316,IDPs,Yes,Yes,Taraba,Donga,Mararraba,HH living without shelter ,,25%-50%,25%-50%,25%-50%,No,No,,Diarrhea,No,No,No
No,,,none,Classrooms are crowded,Yes,Disease/Illness,Fear of violence,Lack of teachers,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of space in local schools,Lack of facilities separated by sex,Yes,No,14,56,IDPs,Yes,Yes,Taraba,Donga,Mararraba,Transit shades (Unpartitioned),,25%-50%,25%-50%,25%-50%,No,Yes,,Diarrhea,Yes,No,No
Yes,Off-site,<1km,<25%,No enough learning space,Yes,Fees or costs,Lack of school supplies,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs lack of food at home and school,Fees or costs,No,Yes,10,57,IDPs,Yes,Yes,Taraba,Gashaka,Galumjina,Rented house,,,,>75%,Yes,No,Community,Diarrhea,Yes,No,No
Yes,Off-site,<1km,<25%,No enough learning space,Yes,Fees or costs,Lack of school supplies,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs lack of food at home and school,Lack of space in local schools fees or costs,No,Yes,18,79,IDPs,Yes,Yes,Taraba,Gashaka,Galumjina,Rented house,,,,>75%,Yes,Yes,Community,Malaria,Yes,No,No
Yes,Off-site,<1km,<25%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of space in local schools lack of facilities separated by sex,Lack of space in local schools lack of food at home and school,No,Yes,17,81,IDPs,Yes,Yes,Taraba,Gashaka,Garbabi,Rented house,,,,>75%,Yes,No,Local authorities,Fever,Yes,No,No
Yes,Off-site,<2km,25%-50%,No enough learning space,Yes,Fees or costs,Work at the house,Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs lack of facilities separated by sex,Fees or costs lack of space in local schools,No,Yes,7,47,IDPs,Yes,Yes,Taraba,Gashaka,Garbabi,Rented house,,,,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,Off-site,<2km,<25%,No enough learning space,Yes,Fees or costs,Lack of teachers,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs early marriage pregnancy,Fees or costs lack of food at home and school,No,Yes,15,86,IDPs,Yes,Yes,Taraba,Gashaka,Jamtari,Rented house,,,,>75%,Yes,No,Local authorities,Fever,Yes,No,No
Yes,Off-site,<2km,<25%,No enough learning space,Yes,Fees or costs,Work at the house,Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of space in local schools lack of food at home and school,Lack of facilities separated by sex lack of space in local schools,No,Yes,5,24,IDPs,Yes,Yes,Taraba,Gashaka,Mayo Selbe,Rented house,,,,>75%,Yes,No,Local authorities,Malnutrition,Yes,No,No
Yes,Off-site,<2km,<25%,Classrooms are crowded,Yes,Fees or costs,Work in the fields,Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs lack of space in local schools,Lack of facilities separated by sex lack of food at home and school,No,Yes,15,57,IDPs,Yes,Yes,Taraba,Gashaka,Mayo Selbe,Rented house,,,,>75%,Yes,No,Local authorities,Malaria,Yes,No,No
Yes,Off-site,<1km,<25%,No enough learning space,Yes,Fees or costs,Lack of school supplies,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy lack of space in local schools,Fees or costs lack of facilities separated by sex,No,Yes,7,34,IDPs,Yes,Yes,Taraba,Gashaka,Serti 'A',Rented house,,,,>75%,Yes,No,Local authorities,Fever,Yes,No,No
Yes,Off-site,<2km,<25%,No enough learning space,Yes,Fees or costs,Lack of school supplies,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage/pregnancy,Fees or costs lack of facilities separated by sex,Yes,Yes,20,221,IDPs,Yes,Yes,Taraba,Gashaka,Serti 'B',Rented house,,,,>75%,No,Yes,,Malaria,Yes,No,No
Yes,Off-site,<1km,<25%,No enough learning space,Yes,Fees or costs,Lack of school supplies,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs lack of space in local schools,Fees or costs lack of facilities separated by sex,No,Yes,17,89,IDPs,Yes,Yes,Taraba,Gashaka,Serti 'B',Rented house,,,,>75%,Yes,Yes,Community,Malaria,Yes,No,No
Yes,Off-site,<1km,<25%,No enough learning space,Yes,Fees or costs,Lack of school supplies,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs lack of food at home and school,Fees or costs lack of space in local schools,No,Yes,7,101,IDPs,Yes,Yes,Taraba,Gashaka,Serti 'B',Rented house,,,,>75%,Yes,Yes,Community,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,No enough learning space,Yes,Lack of teachers,Work in the fields,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of food at home and school they are working,Lack of food at home and school they are working,Yes,Yes,73,1015,IDPs,Yes,Yes,Taraba,Gassol,Mutum Biyu I,Rented house,,,,,No,No,,Malaria,Yes,No,No
Yes,Off-site,<1km,51%-75%,Classrooms not crowded,Yes,Work at the house,Lack of teachers,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of space in local schools lack of food at home and school,Early marriage ,No,Yes,106,1086,IDPs,Yes,Yes,Taraba,Gassol,Mutum Biyu I,Rented house,,,,,No,Yes,,Malaria,No,No,No
Yes,Off-site,<1km,51%-75%,Classrooms are crowded,Yes,Lack of school supplies,Work at the house,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of space in local schools lack of food at home and school,Lack of facilities separated by sex lack of space in local schools,No,Yes,86,591,IDPs,Yes,Yes,Taraba,Gassol,Mutum Biyu I,Individual house,,,,<25%,Yes,Yes,Military,Malaria,Yes,No,No
Yes,Off-site,<1km,51%-75%,No enough learning space,Yes,Lack of teachers,Work at the house,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of facilities separated by sex lack of food at home and school,Lack of food at home and school they are working,No,No,63,584,IDPs,Yes,Yes,Taraba,Gassol,Mutum Biyu I,Blocks/Bricks houses,,,,,Yes,Yes,Military,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,No enough learning space,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,Early marriage  fees or costs,Yes,Yes,11,62,IDPs,Yes,Yes,Taraba,Gassol,Mutum Biyu Ii,Rented house,,,,>75%,Yes,Yes,Local authorities,Fever,Yes,No,No
Yes,Off-site,<1km,51%-75%,No enough learning space,Yes,Fees or costs,Lack of parental/Care givers support,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy fees or costs,Fees or costs early marriage ,Yes,Yes,63,389,IDPs,Yes,Yes,Taraba,Gassol,Mutum Biyu Ii,Rented house,,,,>75%,Yes,Yes,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,No enough learning space,Yes,Work in the fields,Work at the house,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working early marriage/pregnancy,Early marriage  fees or costs,Yes,Yes,35,202,IDPs,Yes,Yes,Taraba,Gassol,Mutum Biyu Ii,Rented house,,,,>75%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,No enough learning space,Yes,Fees or costs,Lack of parental/Care givers support,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,29,201,IDPs,Yes,Yes,Taraba,Gassol,Mutum Biyu Ii,Rented house,,,,>75%,Yes,Yes,Local authorities,Fever,Yes,No,No
Yes,On-site,<1km,25%-50%,No enough learning space,Yes,Fees or costs,Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy fees or costs,Fees or costs early marriage ,Yes,Yes,41,194,IDPs,Yes,Yes,Taraba,Gassol,Nam Nai,Rented house,,,,>75%,Yes,Yes,Local authorities,Fever,Yes,No,No
Yes,On-site,<1km,25%-50%,No enough learning space,Yes,Work in the fields,Work at the house,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy early marriage pregnancy,They are working early marriage ,Yes,Yes,20,87,IDPs,Yes,Yes,Taraba,Gassol,Nam Nai,Rented house,,,,>75%,Yes,Yes,Local authorities,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Work at the house,Work in the fields,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy fees or costs,Fees or costs early marriage ,Yes,Yes,7,38,IDPs,Yes,Yes,Taraba,Gassol,Nam Nai,Rented house,,,,>75%,Yes,Yes,Local authorities,Fever,No,No,No
Yes,Off-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Work in the fields,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs they are working,Lack of space in local schools they are working,No,No,76,592,IDPs,Yes,Yes,Taraba,Gassol,Sabon Gida,Communal shelter,,,,,No,Yes,,Cough,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working distance to school,They are working lack of food at home and school,No,No,223,1434,IDPs,Yes,Yes,Taraba,Gassol,Sabon Gida,Communal shelter,,,,,No,Yes,,Cough,Yes,No,No
Yes,Off-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",They are working lack of food at home and school,Lack of food at home and school fees or costs,No,No,132,1052,IDPs,Yes,Yes,Taraba,Gassol,Sabon Gida,Communal shelter,,,,,No,No,,Cough,Yes,No,No
Yes,On-site,<1km,25%-50%,No enough learning space,Yes,Lack of teachers,Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working lack of food at home and school,Lack of food at home and school they are working,No,No,201,1632,IDPs,Yes,Yes,Taraba,Gassol,Wuryo,Rented house,,,,,No,No,,Malaria,Yes,No,No
Yes,,<1km,25%-50%,No enough learning space,Yes,Lack of teachers,Lack of school supplies,Fees or costs,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",They are working,Early marriage ,No,No,49,221,IDPs,Yes,Yes,Taraba,Gassol,Wuryo,Rented house,,,,,No,Yes,,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,No enough learning space,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,22,119,IDPs,Yes,Yes,Taraba,Gassol,Yarima,Rented house,,,,>75%,Yes,Yes,Local authorities,Malnutrition,Yes,No,No
Yes,On-site,<1km,51%-75%,No enough learning space,Yes,Fees or costs,Lack of parental/Care givers support,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,Fees or costs early marriage ,Yes,Yes,60,498,IDPs,Yes,Yes,Taraba,Gassol,Yarima,Rented house,,,,>75%,No,No,,Malaria,Yes,No,No
Yes,Off-site,<5km,<25%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Work at the house,Largely insufficient number of teachers/Volunteers are available,Fees or costs safety concerns,Fees or costs safety concerns,Yes,Yes,53,389,IDPs,Yes,Yes,Taraba,Ibi,Dampar I,Communal shelter,,,,51%-75%,Yes,Yes,Community,Malnutrition,Yes,No,No
Yes,Off-site,<5km,<25%,Classrooms not crowded,Yes,Lack of school supplies,Fees or costs,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs lack of documentation,Fees or costs disabilities,Yes,Yes,48,325,IDPs,Yes,Yes,Taraba,Ibi,Dampar Iii,Communal shelter,,,,51%-75%,Yes,Yes,Self Organized,Malnutrition,Yes,No,No
Yes,Off-site,<2km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Work at the house,Largely insufficient number of teachers/Volunteers are available,Distance to school fees or costs,Early marriage  safety concerns,Yes,Yes,81,638,IDPs,Yes,Yes,Taraba,Ibi,Ibi Nwonyo I,Communal shelter,,,,>75%,Yes,Yes,Self Organized,Malnutrition,Yes,No,No
